dataset,method,method_display,edge_removal_rate_or_AUC,n,mean,std,ci_low,ci_high,seed_ids
facebook,ptdnet,PTDNet,AUC,10,0.7365313831610927,0.004401160403461562,0.733382982672114,0.7396797836500714,0 1 2 3 4 5 6 7 8 9
facebook,neuralsparse,NeuralSparse,0.1,10,0.9294965995219482,0.00505606082455443,0.925879711494006,0.9331134875498903,0 1 2 3 4 5 6 7 8 9
facebook,neuralsparse,NeuralSparse,0.2,10,0.9235928899194439,0.004318795210958926,0.920503409939735,0.9266823698991528,0 1 2 3 4 5 6 7 8 9
facebook,neuralsparse,NeuralSparse,0.3,10,0.91693061401311,0.005132411942423403,0.9132591076857204,0.9206021203404997,0 1 2 3 4 5 6 7 8 9
facebook,neuralsparse,NeuralSparse,0.4,10,0.906085731791651,0.0033333070492480125,0.9037012275741918,0.9084702360091101,0 1 2 3 4 5 6 7 8 9
facebook,neuralsparse,NeuralSparse,0.5,10,0.8976054125132489,0.00458536631928006,0.8943252390502655,0.9008855859762323,0 1 2 3 4 5 6 7 8 9
facebook,neuralsparse,NeuralSparse,0.6,10,0.8908070611989993,0.0055204900507334976,0.8868579405167673,0.8947561818812314,0 1 2 3 4 5 6 7 8 9
facebook,neuralsparse,NeuralSparse,0.7,10,0.8880853721871098,0.005903508040187923,0.8838622569410037,0.8923084874332159,0 1 2 3 4 5 6 7 8 9
facebook,neuralsparse,NeuralSparse,0.8,10,0.8841181152682307,0.0052462335607735555,0.8803651858601035,0.8878710446763579,0 1 2 3 4 5 6 7 8 9
facebook,neuralsparse,NeuralSparse,0.9,10,0.8841648566645336,0.00653030893336111,0.8794933550708164,0.8888363582582508,0 1 2 3 4 5 6 7 8 9
facebook,neuralsparse,NeuralSparse,AUC,10,0.7214055924985034,0.0032634294458444547,0.719071075707213,0.7237401092897939,0 1 2 3 4 5 6 7 8 9
facebook,random,Random,0.1,10,0.9351687794785587,0.0047578770474256404,0.9317651992748394,0.938572359682278,0 1 2 3 4 5 6 7 8 9
facebook,random,Random,0.2,10,0.9324993800300488,0.004752939260762762,0.9290993321061191,0.9358994279539786,0 1 2 3 4 5 6 7 8 9
facebook,random,Random,0.3,10,0.9278300815927653,0.004899907462103259,0.9243248989510459,0.9313352642344846,0 1 2 3 4 5 6 7 8 9
facebook,random,Random,0.4,10,0.9221608940359367,0.006002240704047116,0.9178671496968923,0.9264546383749811,0 1 2 3 4 5 6 7 8 9
facebook,random,Random,0.5,10,0.9167845357049759,0.005709468874065597,0.9127002277163876,0.9208688436935641,0 1 2 3 4 5 6 7 8 9
facebook,random,Random,0.6,10,0.9106938579205268,0.006382837290951075,0.906127851184645,0.9152598646564086,0 1 2 3 4 5 6 7 8 9
facebook,random,Random,0.7,10,0.9025138849570997,0.006273718193657939,0.8980259373210419,0.9070018325931576,0 1 2 3 4 5 6 7 8 9
facebook,random,Random,0.8,10,0.8968648292328956,0.005143858742945563,0.893185134357701,0.9005445241080902,0 1 2 3 4 5 6 7 8 9
facebook,random,Random,0.9,10,0.8911189255948642,0.004329861722577294,0.8880215291096439,0.8942163220800844,0 1 2 3 4 5 6 7 8 9
facebook,random,Random,AUC,10,0.732249131601096,0.003992148797472789,0.7293933203890908,0.7351049428131011,0 1 2 3 4 5 6 7 8 9
facebook,resistance_style_proxy,Resistance proxy,0.1,10,0.8990842587834713,0.005146942732961125,0.8954023577547211,0.9027661598122215,0 1 2 3 4 5 6 7 8 9
facebook,resistance_style_proxy,Resistance proxy,0.2,10,0.8894023910609233,0.005195981972786251,0.8856854094732998,0.8931193726485469,0 1 2 3 4 5 6 7 8 9
facebook,resistance_style_proxy,Resistance proxy,0.3,10,0.8876494682059363,0.005884611501244589,0.8834398707294625,0.89185906568241,0 1 2 3 4 5 6 7 8 9
facebook,resistance_style_proxy,Resistance proxy,0.4,10,0.8876748889804789,0.0056099548807283925,0.8836617690142669,0.8916880089466909,0 1 2 3 4 5 6 7 8 9
facebook,resistance_style_proxy,Resistance proxy,0.5,10,0.8857487668132501,0.006613701317695708,0.8810176099014922,0.890479923725008,0 1 2 3 4 5 6 7 8 9
facebook,resistance_style_proxy,Resistance proxy,0.6,10,0.8856008567712947,0.006164087956493311,0.8811913338824977,0.8900103796600918,0 1 2 3 4 5 6 7 8 9
facebook,resistance_style_proxy,Resistance proxy,0.7,10,0.8878454332592044,0.007320163634862866,0.8826089036500405,0.8930819628683683,0 1 2 3 4 5 6 7 8 9
facebook,resistance_style_proxy,Resistance proxy,0.8,10,0.8890433970455447,0.007145413845241393,0.8839318759052066,0.8941549181858828,0 1 2 3 4 5 6 7 8 9
facebook,resistance_style_proxy,Resistance proxy,0.9,10,0.8913939847585576,0.00615492247526268,0.8869910184600556,0.8957969510570596,0 1 2 3 4 5 6 7 8 9
facebook,resistance_style_proxy,Resistance proxy,AUC,10,0.7108204323907648,0.004695660102692182,0.7074613595081299,0.7141795052733996,0 1 2 3 4 5 6 7 8 9
github,cailp_social_multi,CILP,0.1,10,0.81379077389934,0.006215144246565275,0.8093447275408457,0.8182368202578342,0 1 2 3 4 5 6 7 8 9
github,cailp_social_multi,CILP,0.2,10,0.8133446069695474,0.005850193489948614,0.8091596306551446,0.8175295832839501,0 1 2 3 4 5 6 7 8 9
github,cailp_social_multi,CILP,0.3,10,0.8124741947422944,0.004976005228821587,0.8089145750376229,0.816033814446966,0 1 2 3 4 5 6 7 8 9
github,cailp_social_multi,CILP,0.4,10,0.8112858211249149,0.004814935085339053,0.807841424059732,0.8147302181900977,0 1 2 3 4 5 6 7 8 9
github,cailp_social_multi,CILP,0.5,10,0.809376924929061,0.006342769949681722,0.8048395806424609,0.8139142692156611,0 1 2 3 4 5 6 7 8 9
github,cailp_social_multi,CILP,0.6,10,0.8093171823191924,0.006358175965559526,0.8047688172327403,0.8138655474056444,0 1 2 3 4 5 6 7 8 9
github,cailp_social_multi,CILP,0.7,10,0.8090204081025163,0.00462155124402665,0.8057143495037228,0.8123264667013098,0 1 2 3 4 5 6 7 8 9
github,cailp_social_multi,CILP,0.8,10,0.8062413718166732,0.0042549778459026145,0.8031975440297794,0.809285199603567,0 1 2 3 4 5 6 7 8 9
github,cailp_social_multi,CILP,0.9,10,0.8033440262314453,0.004363688636165586,0.8002224314299814,0.8064656210329092,0 1 2 3 4 5 6 7 8 9
github,cailp_social_multi,CILP,AUC,10,0.6479627910069593,0.0038570393116390818,0.6452036312987097,0.6507219507152089,0 1 2 3 4 5 6 7 8 9
github,cailp_a31,Task-only,0.1,10,0.8107344591830316,0.006941314345891421,0.8057689420290622,0.8156999763370009,0 1 2 3 4 5 6 7 8 9
github,cailp_a31,Task-only,0.2,10,0.8085786813814886,0.006376448561400899,0.804017244867411,0.8131401178955662,0 1 2 3 4 5 6 7 8 9
github,cailp_a31,Task-only,0.3,10,0.8065152463986489,0.007568539530775118,0.8011010393770632,0.8119294534202346,0 1 2 3 4 5 6 7 8 9
github,cailp_a31,Task-only,0.4,10,0.8078805812124535,0.0067513928331512,0.8030509257242187,0.8127102367006884,0 1 2 3 4 5 6 7 8 9
github,cailp_a31,Task-only,0.5,10,0.8057173602439741,0.0065207901416984865,0.8010526679836094,0.8103820525043388,0 1 2 3 4 5 6 7 8 9
github,cailp_a31,Task-only,0.6,10,0.8056325618059093,0.005641780638399375,0.801596675064159,0.8096684485476595,0 1 2 3 4 5 6 7 8 9
github,cailp_a31,Task-only,0.7,10,0.8041676288208471,0.005280970205392062,0.8003898503141013,0.807945407327593,0 1 2 3 4 5 6 7 8 9
github,cailp_a31,Task-only,0.8,10,0.802746004012255,0.005928334990702397,0.7985051286356437,0.8069868793888664,0 1 2 3 4 5 6 7 8 9
github,cailp_a31,Task-only,0.9,10,0.800876643934623,0.007250324613911839,0.7956900741514039,0.8060632137178421,0 1 2 3 4 5 6 7 8 9
github,cailp_a31,Task-only,AUC,10,0.6447043615434405,0.004434206267781261,0.6415323214672064,0.6478764016196745,0 1 2 3 4 5 6 7 8 9
github,original_ilp_gcn,ILP-GCN,0.1,10,0.8163480485184078,0.006615027327303964,0.8116159430365193,0.8210801540002963,0 1 2 3 4 5 6 7 8 9
github,original_ilp_gcn,ILP-GCN,0.2,10,0.8175753541316135,0.004585823565392968,0.8142948535744656,0.8208558546887614,0 1 2 3 4 5 6 7 8 9
github,original_ilp_gcn,ILP-GCN,0.3,10,0.8163576561026289,0.004695571629241569,0.812998646510088,0.8197166656951698,0 1 2 3 4 5 6 7 8 9
github,original_ilp_gcn,ILP-GCN,0.4,10,0.8148122659330443,0.004471061712645597,0.8116138610598033,0.8180106708062854,0 1 2 3 4 5 6 7 8 9
github,original_ilp_gcn,ILP-GCN,0.5,10,0.8130939305685816,0.005088179731438309,0.8094540660587873,0.8167337950783758,0 1 2 3 4 5 6 7 8 9
github,original_ilp_gcn,ILP-GCN,0.6,10,0.8119405726197296,0.005892464076636066,0.8077253577492198,0.8161557874902394,0 1 2 3 4 5 6 7 8 9
github,original_ilp_gcn,ILP-GCN,0.7,10,0.8097994714071669,0.004758879947263652,0.8063951737721224,0.8132037690422114,0 1 2 3 4 5 6 7 8 9
github,original_ilp_gcn,ILP-GCN,0.8,10,0.8082845279409488,0.0032369968435116444,0.8059689198942803,0.8106001359876174,0 1 2 3 4 5 6 7 8 9
github,original_ilp_gcn,ILP-GCN,0.9,10,0.8072257810131911,0.003677376316084604,0.804595144469562,0.8098564175568201,0 1 2 3 4 5 6 7 8 9
github,original_ilp_gcn,ILP-GCN,AUC,10,0.6503650693469514,0.0034743368458670263,0.6478796784905306,0.6528504602033721,0 1 2 3 4 5 6 7 8 9
github,ptdnet,PTDNet,0.1,10,0.8160370945840404,0.0052420468899084935,0.8122871601398296,0.8197870290282512,0 1 2 3 4 5 6 7 8 9
github,ptdnet,PTDNet,0.2,10,0.8178081362164417,0.004446285341957889,0.8146274552910774,0.8209888171418059,0 1 2 3 4 5 6 7 8 9
github,ptdnet,PTDNet,0.3,10,0.8173853739544368,0.004723851422753898,0.814006134216307,0.8207646136925666,0 1 2 3 4 5 6 7 8 9
