dataset,method,seed,edge_removal_rate,test_macro_f1,giant_component_ratio,bridge_preservation,minority_degree_retention,train_seconds
facebook,neuralsparse,0,0.6,0.8896389652526009,0.6616377392078326,0.4140598721829802,0.6333505786170944,8.618867916999989
facebook,neuralsparse,0,0.7,0.8854385843098198,0.569247886070316,0.3148335015136226,0.5305541135414484,8.618867916999989
facebook,neuralsparse,0,0.8,0.8797532381115377,0.4583444592790387,0.20887991927346114,0.3258026687618952,8.618867916999989
facebook,neuralsparse,0,0.9,0.8779369248550495,0.3020026702269693,0.09350824083417424,0.13105255336236402,8.618867916999989
facebook,neuralsparse,1,0.1,0.9300325300108907,0.9739652870493992,0.9112008072653885,0.9501876387130265,8.451735832999475
facebook,neuralsparse,1,0.2,0.9206238842961405,0.9336003560302626,0.8082744702320888,0.9047773129744044,8.451735832999475
facebook,neuralsparse,1,0.3,0.9165254614097036,0.8821539830885625,0.727547931382442,0.852958286403057,8.451735832999475
facebook,neuralsparse,1,0.4,0.9059551458444115,0.8207387627948376,0.6468213925327951,0.7903935306588246,8.451735832999475
facebook,neuralsparse,1,0.5,0.8926822218397763,0.7492656875834446,0.5452404978136562,0.722682507530095,8.451735832999475
facebook,neuralsparse,1,0.6,0.8818784290646249,0.6729862038273253,0.451732256979482,0.649339673590266,8.451735832999475
facebook,neuralsparse,1,0.7,0.877951318736995,0.5812639074321317,0.34712411705348134,0.5260874837198226,8.451735832999475
facebook,neuralsparse,1,0.8,0.8787599154824023,0.4604361370716511,0.24150689539186007,0.3231809858617519,8.451735832999475
facebook,neuralsparse,1,0.9,0.8825544901285411,0.3063640409434802,0.1096535486041036,0.13309165860468422,8.451735832999475
facebook,neuralsparse,2,0.1,0.9226719491376472,0.9559857587894971,0.8513286242852338,0.8624093358003124,4.378506583001581
facebook,neuralsparse,2,0.2,0.9182847135390744,0.9130396083667112,0.7470568449377732,0.7902317341976122,4.378506583001581
facebook,neuralsparse,2,0.3,0.913291033717103,0.8621717846016912,0.6643121426168853,0.7205139420123601,4.378506583001581
facebook,neuralsparse,2,0.4,0.9054632125404769,0.8062305295950156,0.5798856374032964,0.6065186047075932,4.378506583001581
facebook,neuralsparse,2,0.5,0.894149717377805,0.7408099688473521,0.49108644466868484,0.4858881234111206,4.378506583001581
facebook,neuralsparse,2,0.6,0.8908488881083242,0.6666221628838451,0.41035990581903803,0.34357196126347134,4.378506583001581
facebook,neuralsparse,2,0.7,0.8873130386286993,0.5731642189586115,0.31079717457114026,0.21404064636794118,4.378506583001581
facebook,neuralsparse,2,0.8,0.8826022005401843,0.45068980863373387,0.18970736629667004,0.1173938332050535,4.378506583001581
facebook,neuralsparse,2,0.9,0.8841192353172446,0.28954161103693815,0.08947191389169189,0.04227084345678967,4.378506583001581
facebook,neuralsparse,3,0.1,0.9278255645203607,0.9652425456163773,0.8782374705684494,0.9202809158686287,5.116760124999928
facebook,neuralsparse,3,0.2,0.9206859877211664,0.9242545616377392,0.774302051799529,0.8618914433509985,5.116760124999928
facebook,neuralsparse,3,0.3,0.911753038684295,0.8750333778371161,0.6898755465859401,0.8003624725053938,5.116760124999928
facebook,neuralsparse,3,0.4,0.9023698976664746,0.8181575433911883,0.6118398923646149,0.744562359539023,5.116760124999928
facebook,neuralsparse,3,0.5,0.8943718462659715,0.7497997329773031,0.519004372687521,0.6796672418158433,5.116760124999928
facebook,neuralsparse,3,0.6,0.8852018205372659,0.6705384957721406,0.422468886646485,0.6037997977178329,5.116760124999928
facebook,neuralsparse,3,0.7,0.8820575057581079,0.5752558967512239,0.3232425159771275,0.4343280430644301,5.116760124999928
facebook,neuralsparse,3,0.8,0.8825419936887547,0.45536270582999555,0.21863437605112682,0.2552757402276159,5.116760124999928
facebook,neuralsparse,3,0.9,0.8788304436384095,0.2965287049399199,0.09889001009081735,0.1002718741728353,5.116760124999928
facebook,neuralsparse,4,0.1,0.9229714444414772,0.9523809523809523,0.8254288597376388,0.8981420662873886,5.680259333999857
facebook,neuralsparse,4,0.2,0.9216199107689222,0.9082331998219849,0.7305751765893037,0.8323730628221035,5.680259333999857
facebook,neuralsparse,4,0.3,0.9143456884673262,0.8544281263907432,0.6411032626976119,0.7659243704462922,5.680259333999857
facebook,neuralsparse,4,0.4,0.9004898988632346,0.7936359590565198,0.5486041035990582,0.6959800324067498,5.680259333999857
facebook,neuralsparse,4,0.5,0.8918277294777789,0.72514463729417,0.4665321224352506,0.6157754572732697,5.680259333999857
facebook,neuralsparse,4,0.6,0.8882224944073218,0.6554962171784602,0.3787420114362597,0.4571141811858299,5.680259333999857
facebook,neuralsparse,4,0.7,0.886882088701006,0.5700934579439252,0.28523377060208543,0.29673743128923613,5.680259333999857
